09:46:03.885 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
09:46:04.749 [main] INFO  c.h.t.ConfigApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
09:46:05.950 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8190"]
09:46:05.950 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:46:05.950 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
09:46:06.059 [main] INFO  o.a.c.c.C.[.[.[/config] - [log,173] - Initializing Spring embedded WebApplicationContext
09:46:07.022 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[172.16.21.60:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
09:46:07.206 [cluster-ClusterId{value='62ba5d5f2a4c35169d6d88d2', description='null'}-172.16.21.60:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:1073726}] to 172.16.21.60:27017
09:46:07.207 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:1073725}] to 172.16.21.60:27017
09:46:07.246 [cluster-ClusterId{value='62ba5d5f2a4c35169d6d88d2', description='null'}-172.16.21.60:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=172.16.21.60:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[2, 6, 13]}, minWireVersion=0, maxWireVersion=2, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=38361300}
09:46:07.292 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
09:46:07.297 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
09:46:07.308 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:1073727}] to 172.16.21.60:27017
09:46:07.406 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:4, serverValue:1073728}] to 172.16.21.60:27017
09:46:07.503 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:5, serverValue:1073729}] to 172.16.21.60:27017
09:46:07.599 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:6, serverValue:1073730}] to 172.16.21.60:27017
09:46:07.696 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:7, serverValue:1073731}] to 172.16.21.60:27017
09:46:07.792 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:8, serverValue:1073732}] to 172.16.21.60:27017
09:46:07.891 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:9, serverValue:1073733}] to 172.16.21.60:27017
09:46:07.990 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:10, serverValue:1073734}] to 172.16.21.60:27017
09:46:08.086 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:11, serverValue:1073735}] to 172.16.21.60:27017
09:46:08.713 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8190"]
09:46:08.754 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tzgis-config 172.16.21.122:8190 register finished
09:46:09.019 [main] INFO  c.h.t.ConfigApplication - [logStarted,61] - Started ConfigApplication in 6.015 seconds (JVM running for 7.95)
09:48:07.049 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:1, serverValue:1073725}] to 172.16.21.60:27017 because it is past its maximum allowed idle time.
09:48:07.049 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:3, serverValue:1073727}] to 172.16.21.60:27017 because it is past its maximum allowed idle time.
09:48:07.049 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:4, serverValue:1073728}] to 172.16.21.60:27017 because it is past its maximum allowed idle time.
09:48:07.049 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:5, serverValue:1073729}] to 172.16.21.60:27017 because it is past its maximum allowed idle time.
