15:09:18.452 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:13, serverValue:18}] to 127.0.0.1:27017
15:09:18.455 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:14, serverValue:19}] to 127.0.0.1:27017
15:09:18.456 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:15, serverValue:20}] to 127.0.0.1:27017
15:09:18.458 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:16, serverValue:21}] to 127.0.0.1:27017
15:09:18.459 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:17, serverValue:22}] to 127.0.0.1:27017
15:09:18.461 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:18, serverValue:23}] to 127.0.0.1:27017
15:09:18.462 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:19, serverValue:24}] to 127.0.0.1:27017
15:09:18.464 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:20, serverValue:25}] to 127.0.0.1:27017
15:10:18.450 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:11, serverValue:16}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:10:18.451 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:12, serverValue:17}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:10:18.455 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:21, serverValue:26}] to 127.0.0.1:27017
15:10:18.458 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:22, serverValue:27}] to 127.0.0.1:27017
15:11:08.733 [SpringContextShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,86] - De-registering from Nacos Server now...
15:11:08.736 [SpringContextShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,106] - De-registration finished.
15:11:18.446 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:13, serverValue:18}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.446 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:14, serverValue:19}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.447 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:15, serverValue:20}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.447 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:16, serverValue:21}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.447 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:17, serverValue:22}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.447 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:18, serverValue:23}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.447 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:19, serverValue:24}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.448 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:20, serverValue:25}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:11:18.450 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:23, serverValue:28}] to 127.0.0.1:27017
15:11:18.452 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:24, serverValue:29}] to 127.0.0.1:27017
15:11:18.454 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:25, serverValue:30}] to 127.0.0.1:27017
15:11:18.455 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:26, serverValue:31}] to 127.0.0.1:27017
15:11:18.457 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:27, serverValue:32}] to 127.0.0.1:27017
15:11:18.459 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:28, serverValue:33}] to 127.0.0.1:27017
15:11:18.460 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:29, serverValue:34}] to 127.0.0.1:27017
15:11:18.462 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:30, serverValue:35}] to 127.0.0.1:27017
15:11:18.760 [SpringContextShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2029] - {dataSource-1} closing ...
15:11:18.767 [SpringContextShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2101] - {dataSource-1} closed
15:11:25.848 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
15:11:26.546 [main] INFO  c.h.t.SearchApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
15:11:27.285 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8090"]
15:11:27.286 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:11:27.286 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
15:11:27.369 [main] INFO  o.a.c.c.C.[.[.[/search] - [log,173] - Initializing Spring embedded WebApplicationContext
