13:58:08.903 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
13:58:09.734 [main] INFO  c.h.t.ConfigApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
13:58:10.771 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8190"]
13:58:10.772 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
13:58:10.772 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
13:58:10.872 [main] INFO  o.a.c.c.C.[.[.[/config] - [log,173] - Initializing Spring embedded WebApplicationContext
13:58:11.666 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[172.16.21.60:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
13:58:11.867 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
13:58:11.871 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
13:58:13.195 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8190"]
13:58:13.233 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tzgis-config 172.16.21.19:8190 register finished
13:58:13.250 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:557785}] to 172.16.21.60:27017
13:58:13.250 [cluster-ClusterId{value='6290687323a6211744082b83', description='null'}-172.16.21.60:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:557784}] to 172.16.21.60:27017
13:58:13.343 [cluster-ClusterId{value='6290687323a6211744082b83', description='null'}-172.16.21.60:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=172.16.21.60:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[2, 6, 13]}, minWireVersion=0, maxWireVersion=2, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=91542700}
13:58:13.539 [main] INFO  c.h.t.ConfigApplication - [logStarted,61] - Started ConfigApplication in 5.337 seconds (JVM running for 7.853)
13:58:13.960 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:557786}] to 172.16.21.60:27017
