10:17:38.609 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
10:17:40.425 [main] INFO  c.h.t.SearchApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
10:17:42.592 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8090"]
10:17:42.593 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
10:17:42.593 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
10:17:42.750 [main] INFO  o.a.c.c.C.[.[.[/search] - [log,173] - Initializing Spring embedded WebApplicationContext
10:17:43.573 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
10:17:43.620 [cluster-ClusterId{value='627879c75441c973c8dbe0d4', description='null'}-127.0.0.1:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:12}] to 127.0.0.1:27017
10:17:43.620 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:11}] to 127.0.0.1:27017
10:17:43.623 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:13}] to 127.0.0.1:27017
10:17:43.624 [cluster-ClusterId{value='627879c75441c973c8dbe0d4', description='null'}-127.0.0.1:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 3]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2824600}
10:17:43.626 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:4, serverValue:14}] to 127.0.0.1:27017
10:17:43.629 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:5, serverValue:15}] to 127.0.0.1:27017
10:17:43.631 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:6, serverValue:16}] to 127.0.0.1:27017
10:17:43.634 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:7, serverValue:17}] to 127.0.0.1:27017
10:17:43.636 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:8, serverValue:18}] to 127.0.0.1:27017
10:17:43.639 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:9, serverValue:19}] to 127.0.0.1:27017
10:17:43.641 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:10, serverValue:20}] to 127.0.0.1:27017
10:17:43.643 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:11, serverValue:21}] to 127.0.0.1:27017
10:17:44.091 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
10:17:44.095 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
10:17:45.373 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8090"]
10:17:45.408 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tzgis-search 172.16.21.70:8090 register finished
10:17:45.728 [main] INFO  c.h.t.SearchApplication - [logStarted,61] - Started SearchApplication in 7.772 seconds (JVM running for 9.591)
10:19:04.386 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[.[.[/search] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:19:04.480 [http-nio-8090-exec-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:11, serverValue:21}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
10:19:04.483 [http-nio-8090-exec-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:10, serverValue:20}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
